id,severity,confidence,area,file,line,title,why_it_matters,suggested_fix,source
SM-AUD-0011,P0,probable,delete/integrity,semantic-memory/src/documents.rs,109,delete_document can leave stale HNSW episode keys,"If episodes are cascaded from documents, HNSW sidecar does not know about episode deletes unless explicit pending ops are queued.",Queue Delete for every episode:{episode_id} before deleting the document.,manual
SM-AUD-0012,P0,confirmed,search,semantic-memory/src/search.rs,272,Vector scan uses bytemuck::try_cast_slice on SQLite Vec<u8>,SQLite blobs are byte vectors; casting requires alignment and native endian assumptions. Valid blobs may fail or decode incorrectly on non-little-endian targets.,Use db::bytes_to_embedding for all blob decoding; avoid bytemuck on storage bytes.,manual
SM-AUD-0013,P0,confirmed,hnsw,semantic-memory/src/hnsw.rs,501,HNSW sidecar loader allocates raw byte_len from file without cap,A corrupt sidecar can declare a huge byte length and trigger large allocation before validation.,Require byte_len == dimensions*4 and <= configured max before allocation.,manual
SM-AUD-0014,P0,confirmed,hnsw,semantic-memory/src/hnsw.rs,460,HNSW data format stores dimensions using usize,usize serialization is platform-width dependent; sidecar created on 64-bit may not load on 32-bit and is not a stable portable format.,Use fixed-width u32/u64 little-endian fields with versioned header.,manual
SM-AUD-0015,P0,probable,hnsw,semantic-memory/src/hnsw.rs,142,HNSW save is not atomic,file_dump writes directly; crash or process kill can leave partial graph/data sidecars.,"Write to temp files, fsync, then atomic rename graph/data/keymap as a set.",manual
SM-AUD-0016,P0,confirmed,hnsw,semantic-memory/src/hnsw_ops.rs,184,Pending HNSW mutations are applied before sidecar save succeeds,"If save fails after mutating in-memory index, pending ops remain and can be applied again, creating duplicate tombstones/nodes.",Build/save a snapshot or roll back in-memory mutations on save failure.,manual
SM-AUD-0017,P0,confirmed,hnsw,semantic-memory/src/hnsw_ops.rs,192,Pending upsert calls insert instead of update,"Upsert on an existing key allocates a new node and tombstones the old node, increasing graph bloat on repeated retries.",Use update() or replace semantics for existing keys; dedupe pending ops by key.,manual
SM-AUD-0018,P0,confirmed,hnsw,semantic-memory/src/lib.rs,669,HNSW sidecar save clones Arc while graph can still mutate,Cloning HnswIndex does not snapshot the underlying graph; concurrent writes can mutate while save is in progress.,Hold exclusive lock during save or introduce immutable snapshot serialization.,manual
SM-AUD-0019,P0,confirmed,hnsw,semantic-memory/src/hnsw.rs,429,Graph sidecar validation only checks non-empty file,validate_graph_sidecar does not verify magic/version/consistency with data/keymap.,Validate graph/data/keymap together with checksums and stored dimensions/counts.,manual
SM-AUD-0020,P0,confirmed,integrity,semantic-memory/src/lib.rs,730,"HNSW integrity is count-based, not key-level","Equal counts can hide wrong mappings, stale IDs, or wrong source types.",Verify each keymap key maps to a live row and each live embedded row has a matching key.,manual
SM-AUD-0021,P0,confirmed,integrity,semantic-memory/src/db.rs,1400,FTS integrity count checks use dynamic table names and count parity only,Count parity can pass despite rowid/content mismatches.,Perform key-level rowid_map/content checks for every FTS-backed table.,manual
SM-AUD-0022,P0,confirmed,search,semantic-memory/src/search.rs,61,cosine_similarity truncates mismatched vectors in release builds,debug_assert_eq is disabled in release; zip then compares only the shorter length.,Return Result or validate dimensions before zip in all builds.,manual
SM-AUD-0023,P0,confirmed,search,semantic-memory/src/search.rs,290,cosine similarity accepts non-finite stored/query vectors,NaN/Inf can produce NaN scores and unstable sorting.,Validate finite vectors before storage and skip/error on non-finite during reads.,manual
SM-AUD-0024,P0,confirmed,search,semantic-memory/src/search.rs,963,HNSW filtered search can return empty results without brute-force fallback,"HNSW gets global candidates before namespace/session/source-type filters; if filtered candidates are removed, valid rows outside the top candidate pool are missed.",Overfetch adaptively after filters or fallback to brute force when post-filter hits < k.,manual
SM-AUD-0025,P0,confirmed,search,semantic-memory/src/conversation.rs,683,conversation HNSW search runs blocking CPU work on async thread,"It directly holds the HNSW read lock and searches in async context, unlike main hnsw_search_blocking.",Route through spawn_blocking helper.,manual
SM-AUD-0026,P0,confirmed,delete/integrity,semantic-memory/src/knowledge.rs,143,delete_fact does not clean episode_causes references,"Deleting a fact queues HNSW delete and removes FTS, but episodes may still cite the fact as a cause.",Delete or mark episode_causes rows referencing the fact and update affected episode search/provenance.,manual
SM-AUD-0027,P0,probable,delete/integrity,semantic-memory/src/knowledge.rs,181,update_fact does not update dependent episode/projection search text,Fact content changes can make derived episode/projection references semantically stale.,Record invalidation edges or recompute affected derived search surfaces.,manual
SM-AUD-0028,P1,confirmed,api,semantic-memory/src/knowledge.rs,236,delete_namespace returns only fact count despite deleting many entity types,The API return value underreports blast radius and can make receipts/logs false.,Return NamespaceDeleteReport with counts per entity/table/op.,manual
SM-AUD-0029,P1,confirmed,hnsw,semantic-memory/src/lib.rs,369,Open-time HNSW rebuild/degrade policy is implicit,The open path may rebuild/clear/swap indexes based on metadata without an explicit user-visible startup policy.,Expose HnswStartupPolicy and health status.,manual
SM-AUD-0030,P1,confirmed,hnsw,semantic-memory/src/lib.rs,403,SQL errors while counting embeddings are swallowed as zero,query_row(...).unwrap_or(0) can suppress a DB error and avoid needed rebuild.,Propagate DB errors during integrity decisions.,manual
SM-AUD-0031,P1,confirmed,hnsw,semantic-memory/src/lib.rs,455,Orphan-count SQL errors are swallowed as zero,A failed orphan check can make a stale keymap appear clean.,Propagate the error or force degraded/rebuild state.,manual
SM-AUD-0032,P1,confirmed,hnsw,semantic-memory/src/hnsw.rs,310,Missing hnsw_keymap table silently leaves loaded graph without keys,load_keymap returns Ok with empty keymap; graph points become unresolvable.,"Treat graph+missing keymap as degraded/rebuild, not clean load.",manual
SM-AUD-0033,P1,confirmed,hnsw,semantic-memory/src/hnsw.rs,353,Malformed next_id metadata falls back silently,Invalid next_id is parsed with ok/unwrap_or graph point count.,Report error or mark sidecar stale when metadata is malformed.,manual
SM-AUD-0034,P1,confirmed,hnsw,semantic-memory/src/hnsw.rs,222,HNSW len can report nonzero even when keymap is empty,"len uses graph point count minus deleted IDs, not resolvable key count.",Expose separate graph_len and live_key_count; search should use resolvable key count.,manual
SM-AUD-0035,P1,confirmed,hnsw,semantic-memory/src/hnsw.rs,185,Tombstone overfetch is too naive,fetch_count = top_k + deleted_ids.len() still can miss valid neighbors if tombstones cluster near the query.,Iteratively overfetch until enough live hits or graph exhausted.,manual
SM-AUD-0036,P1,confirmed,hnsw,semantic-memory/src/hnsw.rs,250,deleted_ratio may divide using graph count that includes unreachable/unmapped points,Compaction threshold can be misleading if keymap drift exists.,Compute deleted/live ratios from verified keymap state.,manual
SM-AUD-0037,P1,confirmed,hnsw,semantic-memory/src/hnsw.rs,496,u64 node id is cast to usize without range check,Sidecar with node id > usize::MAX truncates on 32-bit and can corrupt mapping.,TryFrom<u64> with explicit error.,manual
SM-AUD-0038,P1,confirmed,hnsw,semantic-memory/src/hnsw.rs,383,insert ignores return/status from hnsw_rs graph.insert,"If insertion fails or panics internally, keymap may still be updated.",Wrap insert in catch_unwind if needed and use API result if available; update keymap only after success.,manual
SM-AUD-0039,P1,confirmed,hnsw,semantic-memory/src/hnsw_ops.rs,71,HNSW rebuild silently skips invalid fact embeddings,"db::bytes_to_embedding errors are ignored, producing an incomplete index.",Count skipped rows and return degraded integrity finding.,manual
SM-AUD-0040,P1,confirmed,hnsw,semantic-memory/src/hnsw_ops.rs,89,HNSW rebuild silently skips invalid chunk embeddings,Invalid embeddings are dropped without a repair error.,Count skipped rows and expose rebuild diagnostics.,manual
SM-AUD-0041,P1,confirmed,hnsw,semantic-memory/src/hnsw_ops.rs,107,HNSW rebuild silently skips invalid message embeddings,Invalid message embeddings are dropped without a repair error.,Count skipped rows and expose rebuild diagnostics.,manual
SM-AUD-0042,P1,confirmed,hnsw,semantic-memory/src/hnsw_ops.rs,125,HNSW rebuild silently skips invalid episode embeddings,Invalid episode embeddings are dropped without a repair error.,Count skipped rows and expose rebuild diagnostics.,manual
SM-AUD-0043,P1,confirmed,hnsw,semantic-memory/src/hnsw_ops.rs,205,clear_pending_index_ops is all-or-nothing per processed key list after sidecar save,"If keymap flush succeeds but clear fails, mutations may be replayed and duplicate/tombstone bloat occurs.",Use transactional state machine with op generation numbers and idempotent upsert.,manual
SM-AUD-0044,P1,confirmed,q8,semantic-memory/src/lib.rs,1256,q8 optionality conflicts with integrity expectations,"Code comments say q8 is optional/non-fatal, but full integrity can treat missing q8 as an issue.","Define compressed vectors as mandatory or optional; align write, repair, and integrity.",manual
SM-AUD-0045,P1,confirmed,q8,semantic-memory/src/quantize.rs,1,q8 baseline lacks explicit versioned storage envelope,Packed q8 bytes need version/dims/scale metadata for future TurboQuant coexistence.,"Add a vector-codec envelope with codec, version, dim, checksum, and params.",manual
SM-AUD-0046,P1,confirmed,search,semantic-memory/src/search.rs,102,Invalid timestamp becomes maximally fresh,days_since(ts).unwrap_or(0.0) makes parse failures age 0 after a warning.,Treat invalid timestamps as no recency contribution or stale.,manual
SM-AUD-0047,P1,confirmed,search,semantic-memory/src/search.rs,85,recency scoring uses wall-clock inside ranking,Utc::now makes ranking nondeterministic and hard to test/replay.,Inject clock into SearchConfig or query context.,manual
SM-AUD-0048,P1,confirmed,search,semantic-memory/src/lib.rs,851,candidate_pool_size.max(k * 3) can overflow,usize multiplication can overflow for large top_k.,Use k.saturating_mul(3) and cap top_k.,manual
SM-AUD-0049,P1,confirmed,search,semantic-memory/src/lib.rs,954,Second candidate_pool_size.max(k * 3) overflow surface,Same unbounded top_k multiplication appears in another search path.,Use saturating_mul and configured max_top_k.,manual
SM-AUD-0050,P1,confirmed,search,semantic-memory/src/lib.rs,1033,Third candidate_pool_size.max(k * 3) overflow surface,Same unbounded top_k multiplication appears in another path.,Use saturating_mul and configured max_top_k.,manual
SM-AUD-0051,P1,confirmed,search,semantic-memory/src/conversation.rs,683,conversation candidate_pool_size.max(k * 3) overflow surface,Unbounded top_k multiplication in conversation search.,Use saturating_mul and configured max_top_k.,manual
SM-AUD-0052,P1,confirmed,conversation,semantic-memory/src/conversation.rs,172,Unknown token counts are treated as zero in budget selection,Messages with missing token_count can bypass max_tokens.,Recompute missing token_count or treat unknown as conservative upper bound.,manual
SM-AUD-0053,P1,confirmed,conversation,semantic-memory/src/conversation.rs,173,Token budget addition can overflow u32,total_tokens + msg_tokens may overflow before comparison.,Use checked_add/saturating_add and error or clamp.,manual
SM-AUD-0054,P1,confirmed,conversation,semantic-memory/src/conversation.rs,185,session_token_count casts negative SQL sum to u64,"If corrupt rows contain negative token_count, cast wraps to huge positive.",Validate nonnegative aggregate before conversion.,manual
SM-AUD-0055,P1,probable,validation,semantic-memory/src/conversation.rs,63,Session/channel identifiers are not consistently length/whitespace validated,Malformed or huge identifiers can leak into storage and logs.,"Centralize validation for session_id, channel, namespace, title, source URI.",manual
SM-AUD-0056,P1,probable,validation,semantic-memory/src/documents.rs,315,Document title/source/metadata size validation is weaker than content validation,Large metadata/title/source strings can bloat DB and docs.,Add max lengths and metadata byte caps.,manual
SM-AUD-0057,P1,probable,validation,semantic-memory/src/episodes.rs,393,Episode search limit is unbounded,A caller can request a huge limit and cause large result materialization.,Cap limit using config max_top_k/max_query_rows.,manual
SM-AUD-0058,P1,confirmed,api,semantic-memory/src/episodes.rs,437,search_episodes drops episode_id and returns document_id,Multiple episodes per document cannot be distinguished by caller.,Return episode_id plus document_id or a typed EpisodeSearchResult.,manual
SM-AUD-0059,P1,confirmed,diagnostics,semantic-memory/src/episodes.rs,452,Episode parse errors report document_id instead of episode_id,"Diagnostic row id for cause_ids/outcome/status points to document_id, not the episode row.",Use episode_id in parse helpers.,manual
SM-AUD-0060,P1,confirmed,episodes,semantic-memory/src/episodes.rs,285,INSERT OR IGNORE collapses duplicate cause IDs silently,Duplicate causes with different ordinal positions are discarded.,Validate and reject duplicate cause_ids or preserve multiplicity intentionally.,manual
SM-AUD-0061,P1,confirmed,episodes,semantic-memory/src/episodes.rs,360,update_episode_outcome cannot clear experiment_id,"COALESCE(?3, experiment_id) preserves old experiment_id when None is passed.",Add explicit clear operation or Option<Option<String>> semantics.,manual
SM-AUD-0062,P1,probable,keys,semantic-memory/src/hnsw.rs,58,HNSW key parsing split_once(:) is fragile for IDs containing colon,Episode/document/user-provided IDs may contain colon unless validated.,Use structured key encoding or reject colon in IDs.,manual
SM-AUD-0063,P1,probable,keys,semantic-memory/src/search.rs,119,Message dedup key uses session_id:message_id delimiter,"If session_id contains colon, downstream parsing/dedup diagnostics can become ambiguous.",Use tuple type internally or escaped/keyed serialization.,manual
SM-AUD-0064,P1,probable,foreign-keys,semantic-memory/src/db.rs,1,Correctness depends on PRAGMA foreign_keys being enabled for every pooled connection,Cascades/derived cleanup assumptions fail if a connection misses the pragma.,Assert PRAGMA foreign_keys=ON after every connection checkout.,manual
SM-AUD-0065,P1,probable,db,semantic-memory/src/db.rs,558,PRAGMA max_page_count computed with dynamic formatting,"Even though value is numeric, config-derived PRAGMA should be validated/capped.",Validate max_page_count range before execute.,manual
SM-AUD-0066,P1,confirmed,db,semantic-memory/src/db.rs,705,Dynamic table_info table name formatting relies on internal callers only,"If any caller ever passes user input, PRAGMA table_info becomes injection-prone.",Make table an enum or whitelist.,manual
SM-AUD-0067,P1,confirmed,db,semantic-memory/src/db.rs,715,Dynamic ALTER TABLE formatting relies on internal table/column whitelists,Schema migration helpers must not accept arbitrary strings.,Make migration table/column identifiers enum-backed.,manual
SM-AUD-0068,P1,confirmed,db,semantic-memory/src/db.rs,1400,Dynamic SELECT COUNT table name relies on internal map table list,Future caller could turn table name into SQL injection.,Use enum/constant-only function signature.,manual
SM-AUD-0069,P1,probable,sqlite,semantic-memory/src/db.rs,1,SQLite WAL/checkpoint/backpressure policy not visible in archive-level docs,Long-running local stores need defined WAL/checkpoint/backup behavior.,"Document and test WAL mode, busy timeout, checkpoint, and backup semantics.",manual
SM-AUD-0070,P1,probable,pool,semantic-memory/src/pool.rs,1,Connection pool shutdown/poison behavior needs stress coverage,"spawn_blocking and pool handoff may hide panics as Other, but lifecycle correctness needs proof.",Add pool close/drop/concurrent open tests under load.,manual
SM-AUD-0071,P1,probable,projection,semantic-memory/src/projection_storage.rs,1,Projection storage integrity is likely separate from memory integrity,Projection tables are substantial but not obviously covered by full integrity parity.,"Add projection-level integrity: rows, derivations, episodes, imports, claim versions.",manual
SM-AUD-0072,P1,probable,projection,semantic-memory/src/projection_storage_query.rs,271,Projection query uses unwrap_or_default for missing claim/source IDs,"Missing IDs become empty strings, hiding malformed rows.",Return structured parse/error instead of default empty identifiers.,manual
SM-AUD-0073,P1,confirmed,bridge,forge-memory-bridge/src/transform.rs,301,"Bridge transform uses unwrap_or_default, potentially hiding malformed optional payloads",Defaulting in bridge paths can mask corrupted envelope fields.,Emit explicit transform error or warning with field name.,manual
SM-AUD-0074,P1,probable,import,semantic-memory/src/json_compat_import.rs,25,JSON import begins with from_str(...).ok(),Malformed JSON is converted into None instead of a typed parse error at the earliest boundary.,Preserve parse error and source payload hash in import receipt.,manual
SM-AUD-0075,P1,probable,import,semantic-memory/src/projection_legacy_compat.rs,127,Legacy compatibility serializes with unwrap_or_default,"Serialization failure becomes empty string, which can look like valid empty JSON.",Return error on serialization failure.,manual
SM-AUD-0076,P1,probable,security,semantic-memory/src/embedder.rs,127,HTTP embedder response body uses unwrap_or_default on error,Failed response body read can erase useful diagnostic details.,Propagate body-read error or preserve status + partial diagnostics.,manual
SM-AUD-0077,P1,probable,security,semantic-memory/src/embedder.rs,1,External embedder failure modes need retry/backoff/rate-limit policy,Embedding APIs are external/unreliable; partial failures are currently risky for batch workflows.,"Add retry policy, per-batch timeout, and idempotent transaction boundaries.",manual
SM-AUD-0078,P2,confirmed,docs,semantic-memory/CLAUDE_CODE_PROMPT.md,1,Prompt docs are packaged at project root,Prompt artifacts are useful internally but noisy for external review.,Move prompt files under docs/internal/codex/ or exclude public packages.,manual
SM-AUD-0079,P2,confirmed,docs,semantic-memory/IMPLEMENTATION_PROMPT.md,1,Implementation prompt is packaged at project root,Root prompt files dilute the README/API/architecture signal.,Archive or relocate prompt files.,manual
SM-AUD-0080,P2,confirmed,docs,semantic-memory/PATCH_PROMPT.md,1,Patch prompt is packaged at project root,Root patch prompt looks stale/internal to reviewers.,Archive or relocate prompt files.,manual
SM-AUD-0081,P2,confirmed,docs,semantic-memory/V2_PATCH_PROMPT.md,1,V2 patch prompt is packaged at project root,Stale patch prompt can confuse source of truth.,Archive or relocate prompt files.,manual
SM-AUD-0082,P2,confirmed,docs,semantic-memory/semantic-memory-generic-rust-next-codex-context-20260507.codex-archive.json,1,Prior codex sidecar is included in current source package,The previous codex archive report is not source and can confuse current package state.,Exclude generated/codex sidecars consistently.,manual
SM-AUD-0083,P2,confirmed,permissions,manifest,1,Most source/docs are marked executable,Executable bits on .rs/.md/.toml/.lock files create noisy diffs and false script signals.,"Normalize permissions: 0644 for non-scripts, 0755 only for actual executables.",manual
SM-AUD-0084,P2,confirmed,ci,manifest,1,No packaged CI workflow surface,The archive does not show .github/workflows for cargo check/test/clippy/doc.,"Add CI for all features, no-default-features variants, and clean extraction build.",manual
SM-AUD-0085,P2,confirmed,benchmarks,manifest,1,No benchmark suite/result artifact included,TurboQuant/HNSW/q8 claims need performance/recall evidence.,Add benches and BENCHMARKS.md with f32/q8/HNSW/TurboQuant matrix.,manual
SM-AUD-0086,P2,probable,structure,semantic-memory/src/lib.rs,1,lib.rs is very large and high blast-radius,Large orchestrator file makes localized correctness review harder.,Split store open/search/reembed/delete/integrity modules after P0 fixes.,manual
SM-AUD-0087,P2,probable,structure,semantic-memory/src/db.rs,1,db.rs is very large and high blast-radius,Schema/migration/metadata/ops all in one module reduce auditability.,Split schema/migrations/integrity/hnsw metadata helpers.,manual
SM-AUD-0088,P2,probable,structure,semantic-memory/src/search.rs,1,"search.rs combines lexical, vector, HNSW resolution, fusion, scoring",Mixed responsibilities make ranking bugs harder to isolate.,Split search/fts.rs vector.rs hnsw.rs fusion.rs explain.rs.,manual
SM-AUD-0089,P3,confirmed,permissions,forge-memory-bridge/AGENTS.md,,Non-script file is executable: forge-memory-bridge/AGENTS.md,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0090,P3,confirmed,permissions,forge-memory-bridge/Cargo.lock,,Non-script file is executable: forge-memory-bridge/Cargo.lock,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0091,P3,confirmed,permissions,forge-memory-bridge/Cargo.toml,,Non-script file is executable: forge-memory-bridge/Cargo.toml,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0092,P3,confirmed,permissions,forge-memory-bridge/src/batch.rs,,Non-script file is executable: forge-memory-bridge/src/batch.rs,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0093,P3,confirmed,permissions,forge-memory-bridge/src/error.rs,,Non-script file is executable: forge-memory-bridge/src/error.rs,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0094,P3,confirmed,permissions,forge-memory-bridge/src/legacy.rs,,Non-script file is executable: forge-memory-bridge/src/legacy.rs,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0095,P3,confirmed,permissions,forge-memory-bridge/src/lib.rs,,Non-script file is executable: forge-memory-bridge/src/lib.rs,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0096,P3,confirmed,permissions,forge-memory-bridge/tests/forge_bridge_memory_proof.rs,,Non-script file is executable: forge-memory-bridge/tests/forge_bridge_memory_proof.rs,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0097,P3,confirmed,permissions,semantic-memory-forge/Cargo.toml,,Non-script file is executable: semantic-memory-forge/Cargo.toml,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0098,P3,confirmed,permissions,semantic-memory-forge/src/bundle.rs,,Non-script file is executable: semantic-memory-forge/src/bundle.rs,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0099,P3,confirmed,permissions,semantic-memory-forge/src/estimator.rs,,Non-script file is executable: semantic-memory-forge/src/estimator.rs,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0100,P3,confirmed,permissions,semantic-memory-forge/src/lib.rs,,Non-script file is executable: semantic-memory-forge/src/lib.rs,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0101,P3,confirmed,permissions,semantic-memory-forge/src/tool_receipt.rs,,Non-script file is executable: semantic-memory-forge/src/tool_receipt.rs,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0102,P3,confirmed,permissions,semantic-memory-forge/src/v11.rs,,Non-script file is executable: semantic-memory-forge/src/v11.rs,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0103,P3,confirmed,permissions,semantic-memory-forge/src/v13.rs,,Non-script file is executable: semantic-memory-forge/src/v13.rs,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0104,P3,confirmed,permissions,semantic-memory-forge/src/v14.rs,,Non-script file is executable: semantic-memory-forge/src/v14.rs,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0105,P3,confirmed,permissions,semantic-memory-forge/src/v9.rs,,Non-script file is executable: semantic-memory-forge/src/v9.rs,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0106,P3,confirmed,permissions,semantic-memory/.gitignore,,Non-script file is executable: semantic-memory/.gitignore,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0107,P3,confirmed,permissions,semantic-memory/AGENTS.md,,Non-script file is executable: semantic-memory/AGENTS.md,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0108,P3,confirmed,permissions,semantic-memory/CLAUDE_CODE_PROMPT.md,,Non-script file is executable: semantic-memory/CLAUDE_CODE_PROMPT.md,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0109,P3,confirmed,permissions,semantic-memory/Cargo.lock,,Non-script file is executable: semantic-memory/Cargo.lock,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0110,P3,confirmed,permissions,semantic-memory/Cargo.toml,,Non-script file is executable: semantic-memory/Cargo.toml,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0111,P3,confirmed,permissions,semantic-memory/HNSWLIB_RS_REFERENCE.md,,Non-script file is executable: semantic-memory/HNSWLIB_RS_REFERENCE.md,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0112,P3,confirmed,permissions,semantic-memory/IMPLEMENTATION_PROMPT.md,,Non-script file is executable: semantic-memory/IMPLEMENTATION_PROMPT.md,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0113,P3,confirmed,permissions,semantic-memory/PATCH_PROMPT.md,,Non-script file is executable: semantic-memory/PATCH_PROMPT.md,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
SM-AUD-0114,P3,confirmed,permissions,semantic-memory/SPEC.md,,Non-script file is executable: semantic-memory/SPEC.md,Executable bit on ordinary source/documentation creates noisy diffs and can confuse archive consumers.,Normalize to 0644 unless this file is intentionally runnable.,manifest-permission
